2003     1     1      1366.839000
  5.399043E+01  5.384657E+01  5.363189E+01  5.335631E+01  5.285205E+01
  5.218070E+01  5.175281E+01  5.141675E+01  5.135416E+01  5.123354E+01
  5.083068E+01  5.038877E+01  4.991012E+01  4.958454E+01  4.932825E+01
  4.901201E+01  4.850300E+01  4.793576E+01  4.745398E+01  4.705025E+01
  4.678943E+01  4.646760E+01  4.615631E+01  4.597256E+01  4.575728E+01
  4.532270E+01  4.491364E+01  4.454403E+01  4.438116E+01  4.437612E+01
  4.417732E+01  4.399002E+01  4.368121E+01  4.289356E+01  4.226006E+01
  4.202086E+01  4.182400E+01  4.207598E+01  4.177842E+01  4.135950E+01
  4.113651E+01  4.061862E+01  4.023117E+01  3.992206E+01  3.963175E+01
  3.952554E+01  3.925795E+01  3.903507E+01  3.877280E+01  3.850036E+01
  3.822449E+01  3.798125E+01  3.770728E+01  3.744735E+01  3.720024E+01
  3.696065E+01  3.669302E+01  3.648888E+01  3.624377E+01  3.593794E+01
  3.557251E+01  3.526336E+01  3.501820E+01  3.483554E+01  3.471292E+01
  3.450590E+01  3.430564E+01  3.412660E+01  3.391640E+01  3.370160E+01
  3.347541E+01  3.324635E+01  3.303408E+01  3.282063E+01  3.260156E+01
  3.239986E+01  3.216165E+01  3.194751E+01  3.172244E+01  3.149897E+01
  3.131052E+01  3.109846E+01  3.080009E+01  3.051389E+01  3.030483E+01
  3.010951E+01  2.999828E+01  2.990609E+01  2.972889E+01  2.953809E+01
  2.936582E+01  2.917058E+01  2.898149E+01  2.876508E+01  2.856927E+01
  2.838860E+01  2.820152E+01  2.803152E+01  2.786301E+01  2.768347E+01
  2.751048E+01  2.736316E+01  2.720583E+01  2.704339E+01  2.687283E+01
  2.670055E+01  2.652499E+01  2.633180E+01  2.615251E+01  2.598402E+01
  2.582754E+01  2.567010E+01  2.552944E+01  2.536625E+01  2.518834E+01
  2.494015E+01  2.469203E+01  2.452765E+01  2.438265E+01  2.425814E+01
  2.422184E+01  2.410550E+01  2.396002E+01  2.381756E+01  2.366702E+01
  2.352010E+01  2.339203E+01  2.323223E+01  2.309084E+01  2.296688E+01
  2.280747E+01  2.261697E+01  2.249386E+01  2.234996E+01  2.221154E+01
  2.211828E+01  2.202583E+01  2.188888E+01  2.172691E+01  2.160018E+01
  2.146882E+01  2.132287E+01  2.119356E+01  2.110054E+01  2.096433E+01
  2.084450E+01  2.073967E+01  2.062164E+01  2.048909E+01  2.038019E+01
  2.025019E+01  2.012549E+01  2.000580E+01  1.990068E+01  1.977171E+01
  1.965678E+01  1.952722E+01  1.941583E+01  1.930131E+01  1.919038E+01
  1.907491E+01  1.897844E+01  1.886730E+01  1.874785E+01  1.862797E+01
  1.851160E+01  1.835123E+01  1.816441E+01  1.804925E+01  1.795151E+01
  1.784863E+01  1.771941E+01  1.768266E+01  1.761606E+01  1.751750E+01
  1.741664E+01  1.733810E+01  1.728824E+01  1.718626E+01  1.709131E+01
  1.699008E+01  1.688477E+01  1.678152E+01  1.668899E+01  1.659241E+01
  1.650150E+01  1.640678E+01  1.628519E+01  1.618548E+01  1.609210E+01
  1.598496E+01  1.588621E+01  1.581548E+01  1.575811E+01  1.567814E+01
  1.560061E+01  1.553497E+01  1.545254E+01  1.537531E+01  1.529940E+01
  1.521442E+01  1.512645E+01  1.503774E+01  1.495459E+01  1.487310E+01
  1.478959E+01  1.470666E+01  1.463004E+01  1.455854E+01  1.447996E+01
  1.440154E+01  1.432359E+01  1.424793E+01  1.416990E+01  1.408460E+01
  1.400304E+01  1.392972E+01  1.385684E+01  1.377416E+01  1.369274E+01
  1.362448E+01  1.355115E+01  1.347628E+01  1.339519E+01  1.332638E+01
  1.326627E+01  1.319142E+01  1.312487E+01  1.305860E+01  1.299502E+01
  1.293457E+01  1.286840E+01  1.280341E+01  1.273991E+01  1.267266E+01
  1.260123E+01  1.252737E+01  1.244822E+01  1.236865E+01  1.229838E+01
  1.223075E+01  1.216214E+01  1.209150E+01  1.200816E+01  1.195260E+01
  1.189348E+01  1.180124E+01  1.171251E+01  1.163599E+01  1.157310E+01
  1.152361E+01  1.146288E+01  1.140809E+01  1.137897E+01  1.130776E+01
  1.121142E+01  1.113933E+01  1.107155E+01  1.100493E+01  1.094144E+01
  1.088768E+01  1.085968E+01  1.084689E+01  1.081771E+01  1.077220E+01
  1.072245E+01  1.066885E+01  1.061538E+01  1.056370E+01  1.051783E+01
  1.046327E+01  1.041777E+01  1.037585E+01  1.032657E+01  1.027645E+01
  1.023097E+01  1.018578E+01  1.014333E+01  1.009231E+01  1.003445E+01
  9.981000E+00  9.934883E+00  9.886058E+00  9.828116E+00  9.775711E+00
  9.725800E+00  9.677486E+00  9.635473E+00  9.592313E+00  9.544671E+00
  9.498799E+00  9.460804E+00  9.415427E+00  9.371001E+00  9.329521E+00
  9.283024E+00  9.231509E+00  9.178620E+00  9.128475E+00  9.081409E+00
  9.036310E+00  8.991301E+00  8.944164E+00  8.894990E+00  8.850791E+00
  8.805183E+00  8.758384E+00  8.716949E+00  8.673877E+00  8.623116E+00
  8.575445E+00  8.540002E+00  8.504387E+00  8.472435E+00  8.438176E+00
  8.390137E+00  8.323356E+00  8.275416E+00  8.242002E+00  8.196200E+00
  8.155110E+00  8.118207E+00  8.080089E+00  8.045602E+00  8.025396E+00
  8.011977E+00  7.978128E+00  7.948743E+00  7.912499E+00  7.875523E+00
  7.839626E+00  7.805681E+00  7.773570E+00  7.738382E+00  7.701071E+00
  7.660019E+00  7.622761E+00  7.589891E+00  7.554809E+00  7.518295E+00
  7.479944E+00  7.444043E+00  7.407701E+00  7.374692E+00  7.342645E+00
  7.309339E+00  7.265080E+00  7.222163E+00  7.188064E+00  7.157766E+00
  7.127591E+00  7.097899E+00  7.067289E+00  7.038316E+00  7.006309E+00
  6.981771E+00  6.958472E+00  6.927706E+00  6.896826E+00  6.864766E+00
  6.833440E+00  6.802051E+00  6.770273E+00  6.742640E+00  6.702706E+00
  6.641034E+00  6.591817E+00  6.546390E+00  6.503510E+00  6.459714E+00
  6.417817E+00  6.377025E+00  6.334737E+00  6.301416E+00  6.292362E+00
  6.261371E+00  6.212605E+00  6.170729E+00  6.128060E+00  6.088518E+00
  6.046776E+00  6.009209E+00  5.973257E+00  5.935892E+00  5.902149E+00
  5.888976E+00  5.864844E+00  5.822728E+00  5.787921E+00  5.751662E+00
  5.719854E+00  5.687778E+00  5.653882E+00  5.622173E+00  5.590642E+00
  5.561250E+00  5.545028E+00  5.536222E+00  5.510022E+00  5.480753E+00
  5.451990E+00  5.422272E+00  5.397710E+00  5.371959E+00  5.344842E+00
  5.322031E+00  5.293394E+00  5.266970E+00  5.252128E+00  5.239553E+00
  5.209638E+00  5.184716E+00  5.160192E+00  5.134420E+00  5.111557E+00
  5.082425E+00  5.062710E+00  5.041934E+00  5.017155E+00  4.991996E+00
  4.982885E+00  4.968538E+00  4.941811E+00  4.918416E+00  4.895548E+00
  4.875452E+00  4.855299E+00  4.832194E+00  4.810590E+00  4.792739E+00
  4.771326E+00  4.752835E+00  4.739476E+00  4.729991E+00  4.712167E+00
  4.685284E+00  4.662028E+00  4.643873E+00  4.625792E+00  4.608613E+00
  4.591608E+00  4.572738E+00  4.554503E+00  4.538260E+00  4.520908E+00
  4.509819E+00  4.505079E+00  4.492352E+00  4.472715E+00  4.458138E+00
  4.444116E+00  4.427149E+00  4.411241E+00  4.394702E+00  4.377297E+00
  4.360433E+00  4.344137E+00  4.328301E+00  4.312905E+00  4.299191E+00
  4.279530E+00  4.261214E+00  4.245194E+00  4.227174E+00  4.210651E+00
  4.191729E+00  4.175128E+00  4.158214E+00  4.142838E+00  4.126711E+00
  4.112283E+00  4.099601E+00  4.088008E+00  4.072565E+00  4.058400E+00
  4.043001E+00  4.030098E+00  4.014656E+00  4.000914E+00  3.981925E+00
  3.966851E+00  3.951584E+00  3.936315E+00  3.919504E+00  3.904528E+00
  3.890068E+00  3.874521E+00  3.860051E+00  3.842857E+00  3.828844E+00
